name,price,quantity
Борщ «Вегетарианский» без картофеля с красной фасолью,146,0
Борщ вегетарианский,208,0
Борщ с говядиной 300 г_РП,200,0
Борщ с говядиной Халяль_РП,200,0
"Борщ с говядиной, 390 г_РП",169,0
Борщ с говяжьим языком,318,0
"Борщ с курицей, 350 грамм",134,0
Борщ с мраморной говядиной,247,0
Борщ с томлеными говяжьими щечками,318,0
Буженина в собственном соку_РП,275,0
Бургер «Богатырь»,435,0
Бургер «Ипполит» с мандаринами,450,0
Бургер «Лайт» без бекона и лука,435,0
Бургер «Сочная цыпа»,395,0
Бургер куриный «Цезарь»,395,0
Бургер с говядиной BBQ,435,0
Бургер с говядиной BBQ и апельсиновый фреш 500 мл,600,0
Вареники с вишней и сметаной,198,0
"Вареники с картофелем и грибами, 245 г",166,0
"Вареники с творогом, 265 г",227,0
Винегрет овощной Халяль_РП,150,0
Вок с говядиной_РП,250,0
Вок с курицей,335,0
Вок с курицей_РП,245,0
Говядина «Провансаль» с гречкой,238,0
Говядина в сливочном соусе с гречкой,336,0
Гратен картофельный с куриной котлетой и соусом,380,0
"Грибы древесные черные моэр маринованные, 210 г",240,0
"Гуляш из говядины с гречкой пастеризованный, 250 г_РП",240,0
Деревенский завтрак,440,0
Драники картофельные с цукини и соусом,248,0
"Жюльен «Грибной» с шампиньонами и белыми грибами, 440 г",530,0
Закуска из древесных грибов,218,0
Заливное из семги,248,0
"Заливное из семги, 500 г",480,0
Запеканка из козьего молока,458,0
Запеканка рыбная с печеным картофелем,292,0
Запечённый мини картофель с соусом «Тысяча островов»,190,0
Злаковая каша с ягодами,305,0
Зразы картофельные с сыром и грибами с соусом цезарь,271,0
Кальмар фаршированный с кус-кусом и соусом маринара,298,0
"Камбала жареная, вес",793,0
Картофель с говядиной_РП,185,0
Картофельная вафля с беконом и яйцом,365,0
Картофельная вафля с лососем и яйцом,448,0
Картофельное пюре с куриными колбасками,228,0
Картофельное пюре с печеночными оладьями,274,0
Картофельные дольки по-техасски с беконом,250,0
Каша 7 злаков,128,0
Каша гречневая с говядиной_РП,164,0
Каша гречневая с грибами и луком,155,0
Каша гречневая со свининой_РП,135,0
"Каша молочная рисовая пастеризованная, 250 г_РП",176,0
Каша овсяная молочная_РП,146,0
Каша овсяная пастеризованная_РП,157,0
Каша овсяная с бананом и голубикой,217,0
Каша пшенная молочная_РП,178,0
Каша пшенная с тыквой и яблоком,200,0
Каша рисовая молочная_РП,180,0
Каша рисовая с бананом и персиком,258,0
"Кекс веган банановый, кафе рег",140,0
Кесадилья «По-Абхазски» с мандаринами,340,0
Киш с горбушей и брокколи_РП,160,0
"Киш с сыром и овощами, кафе",185,0
Клаб-сэндвич,181,0
Колбаска «Баварская» (1 шт.) на шпажке с картофельным пюре,320,0
Колбаска «Баварская» (2 шт.) на шпажке с картофельным пюре,498,0
Колбаски мясные гриль в наборе с соусом «Шашлычный»,260,0
Комбо: Колбаска «Баварская» (1 шт.) с картофельным пюре + суп Харчо с говядиной,508,0
Комбо: Суп-пюре из цветной капусты с сыром + Котлета куриная «Солнышко» с картофельным пюре,487,0
Комбо-завтрак (мини-сырники + сэндвич),350,0
